n,type,array_type,execution_time,num_of_steps
100,quick,sorted,73300,41186
100,random_quick,sorted,10300,5468
100,quick,reversed,36900,28686
100,random_quick,reversed,8300,5060
100,quick,random_sequence,13700,4705
100,random_quick,random_sequence,9600,4989
100,quick,random_50,6176,4806
100,random_quick,random_50,7632,5161
100,heap,sorted,10900,7650
100,heap,reversed,9000,6439
100,heap,random_sequence,10400,7143
100,heap,random_50,11734,7077
200,quick,sorted,136600,162386
200,random_quick,sorted,17500,13059
200,quick,reversed,111500,112386
200,random_quick,reversed,15000,10395
200,quick,random_sequence,14900,10775
200,random_quick,random_sequence,27300,10577
200,quick,random_50,14632,11121
200,random_quick,random_50,18224,11772
200,heap,sorted,26300,17797
200,heap,reversed,27100,15049
200,heap,random_sequence,24200,16592
200,heap,random_50,23328,16539
300,quick,sorted,383300,363586
300,random_quick,sorted,22100,18187
300,quick,reversed,252300,251086
300,random_quick,reversed,28700,18615
300,quick,random_sequence,23300,16759
300,random_quick,random_sequence,27400,18264
300,quick,random_50,23160,18117
300,random_quick,random_50,28192,19268
300,heap,sorted,38300,28818
300,heap,reversed,51900,24723
300,heap,random_sequence,48000,26967
300,heap,random_50,40588,26826
400,quick,sorted,514600,644786
400,random_quick,sorted,38200,23988
400,quick,reversed,320900,444786
400,random_quick,reversed,30800,24511
400,quick,random_sequence,40500,22802
400,random_quick,random_sequence,41500,28170
400,quick,random_50,35046,24848
400,random_quick,random_50,42672,26656
400,heap,sorted,53800,40387
400,heap,reversed,47800,34949
400,heap,random_sequence,53600,37496
400,heap,random_50,59402,37862
500,quick,sorted,847200,1005986
500,random_quick,sorted,40500,34408
500,quick,reversed,720700,693486
500,random_quick,reversed,40500,34079
500,quick,random_sequence,52600,33036
500,random_quick,random_sequence,50700,39173
500,quick,random_50,41280,32266
500,random_quick,random_50,48160,34042
500,heap,sorted,85200,52147
500,heap,reversed,90600,45527
500,heap,random_sequence,68000,49006
500,heap,random_50,72812,49131
1000,quick,sorted,3102000,4011986
1000,random_quick,sorted,85200,72637
1000,quick,reversed,2011300,2761986
1000,random_quick,reversed,80600,74074
1000,quick,random_sequence,121300,66065
1000,random_quick,random_sequence,111800,81786
1000,quick,random_50,93280,73090
1000,random_quick,random_50,111890,76717
1000,heap,sorted,153300,116446
1000,heap,reversed,136300,102644
1000,heap,random_sequence,157400,110413
1000,heap,random_50,163466,110216
4000,quick,sorted,51697300,64047986
4000,random_quick,sorted,394500,354426
4000,quick,reversed,33083300,44047986
4000,random_quick,reversed,392000,378002
4000,quick,random_sequence,444600,360946
4000,random_quick,random_sequence,526100,370366
4000,quick,random_50,479514,353652
4000,random_quick,random_50,560514,366066
4000,heap,sorted,755400,564465
4000,heap,reversed,700700,508453
4000,heap,random_sequence,829700,536645
4000,heap,random_50,918004,536748
10000,quick,sorted,347555200,400119986
10000,random_quick,sorted,1088100,1023673
10000,quick,reversed,207957800,275119986
10000,random_quick,reversed,1245100,1042824
10000,quick,random_sequence,1415100,977225
10000,random_quick,random_sequence,1475400,977210
10000,quick,random_50,1265488,973603
10000,random_quick,random_50,1414644,1023858
10000,heap,sorted,2043400,1579911
10000,heap,reversed,1893200,1428607
10000,heap,random_sequence,2316600,1504173
10000,heap,random_50,2339780,1502996
100,insertion,sorted,30000,695
100,merge,sorted,40900,7892
100,insertion,reversed,13100,20495
100,merge,reversed,23800,7812
100,insertion,random_sequence,7000,10635
100,merge,random_sequence,36400,8252
100,insertion,random_50,7598,10618
100,merge,random_50,26190,8263
200,insertion,sorted,1400,1395
200,merge,sorted,54200,17408
200,insertion,reversed,45700,80995
200,merge,reversed,78500,17248
200,insertion,random_sequence,34700,38339
200,merge,random_sequence,61300,18372
200,insertion,random_50,37770,41125
200,merge,random_50,86392,18343
300,insertion,sorted,1200,2095
300,merge,sorted,75500,27508
300,insertion,reversed,104600,181495
300,merge,reversed,56800,27252
300,insertion,random_sequence,49900,88615
300,merge,random_sequence,94500,29096
300,insertion,random_50,53966,91119
300,merge,random_50,65562,29083
400,insertion,sorted,1900,2795
400,merge,sorted,79000,38040
400,insertion,reversed,178500,321995
400,merge,reversed,75100,37720
400,insertion,random_sequence,89100,160271
400,merge,random_sequence,88100,40314
400,insertion,random_50,97524,162142
400,merge,random_50,92186,40318
500,insertion,sorted,1700,3495
500,merge,sorted,95100,48436
500,insertion,reversed,284200,502495
500,merge,reversed,94900,48324
500,insertion,random_sequence,149500,240163
500,merge,random_sequence,111700,51580
500,insertion,random_50,154796,253616
500,merge,random_50,114890,51605
1000,insertion,sorted,3400,6995
1000,merge,sorted,258700,104896
1000,insertion,reversed,1116600,2004995
1000,merge,reversed,189500,104672
1000,insertion,random_sequence,626500,997015
1000,merge,random_sequence,250600,112190
1000,insertion,random_50,667260,1006656
1000,merge,random_50,241916,112227
4000,insertion,sorted,13600,27995
4000,merge,sorted,758100,483656
4000,insertion,reversed,18723600,32019995
4000,merge,reversed,787700,482760
4000,insertion,random_sequence,9576700,15745427
4000,merge,random_sequence,1392900,520906
4000,insertion,random_50,10231712,16033883
4000,merge,random_50,1126124,520947
10000,insertion,sorted,33700,69995
10000,merge,sorted,2174300,1323304
10000,insertion,reversed,126849900,200049995
10000,merge,reversed,2470000,1314504
10000,insertion,random_sequence,72168800,97781731
10000,merge,random_sequence,2584800,1426118
10000,insertion,random_50,62899646,100047806
10000,merge,random_50,2771454,1426202
